Date,Cases,Deaths
22 Mar 2014,49,29
24 Mar 2014,86,59
25 Mar 2014,86,60
26 Mar 2014,86,62
27 Mar 2014,103,66
28 Mar 2014,112,70
31 Mar 2014,122,80
01 Apr 2014,127,83
04 Apr 2014,143,86
07 Apr 2014,151,95
09 Apr 2014,158,101
11 Apr 2014,159,106
14 Apr 2014,168,108
16 Apr 2014,197,122
17 Apr 2014,203,129
20 Apr 2014,208,136
23 Apr 2014,218,141
01 May 2014,226,149
03 May 2014,231,155
05 May 2014,235,157
07 May 2014,236,158
10 May 2014,233,157
12 May 2014,248,171
18 May 2014,253,176
23 May 2014,258,174
27 May 2014,281,186
28 May 2014,291,193
01 Jun 2014,328,208
03 Jun 2014,344,215
05 Jun 2014,351,226
15 Jun 2014,394,263
16 Jun 2014,398,264
20 Jun 2014,390,270
30 Jun 2014,413,303
02 Jul 2014,412,305
06 Jul 2014,408,307
08 Jul 2014,409,309
12 Jul 2014,406,304
14 Jul 2014,411,310
17 Jul 2014,410,310
20 Jul 2014,415,314
23 Jul 2014,427,319
27 Jul 2014,460,339
30 Jul 2014,472,346
01 Aug 2014,485,358
04 Aug 2014,495,363
06 Aug 2014,495,367
09 Aug 2014,506,373
11 Aug 2014,510,377
13 Aug 2014,519,380
16 Aug 2014,543,394
18 Aug 2014,579,396
20 Aug 2014,607,406
