Date,Cases,Deaths
27 May 2014,16,5
29 May 2014,50,6
01 Jun 2014,79,6
05 Jun 2014,81,6
06 Jun 2014,89,7
15 Jun 2014,95,46
17 Jun 2014,97,49
20 Jun 2014,158,34
30 Jun 2014,239,99
02 Jul 2014,252,101
06 Jul 2014,305,127
08 Jul 2014,337,142
12 Jul 2014,386,194
14 Jul 2014,397,197
17 Jul 2014,442,206
20 Jul 2014,454,219
23 Jul 2014,525,224
27 Jul 2014,533,233
30 Jul 2014,574,252
01 Aug 2014,646,273
04 Aug 2014,691,286
06 Aug 2014,717,298
09 Aug 2014,730,315
11 Aug 2014,783,334
13 Aug 2014,810,348
16 Aug 2014,848,365
18 Aug 2014,907,374
20 Aug 2014,910,392
